,Unnamed: 0,title,authors,journal,year,abstract,Relevance_Score
0,0,Quality of the Healthcare Services During COVID-19 Pandemic in Selected European Countries,"Magdalena Tuczyńska, R. Staszewski, M. Matthews‑Kozanecka",Frontiers in Public Health,2022,"Background There are several definitions of the quality of healthcare services. It may be defined as a level of value provided by any health care resource, as determined by some measurement. Scientists use a variety of quality measures to attempt to determine health care quality. They use special indicators or based on a patients' or healthcare professional's perception. This article aims to provide a short review of the available data on the quality of healthcare services in selected European countries during the COVID-19 pandemic. Methodology The research was done by the use of online databases such as PubMed, Google Scholar, and Science Direct. All the studies focused on the quality of healthcare services, yet the studies used different methods to measure this quality. In addition, the results of the authors' survey on the assessment of the quality of healthcare services before and during the COVID-19 pandemic were presented. Results Among twelve studies, four were from the United Kingdom and one each of Catalonia, Italy, Sweden, Poland, Netherlands, France, Germany, Belgium. Patients in the United Kingdom felt that the quality of services was good during the pandemic, whereas the quality declined in the other studies cited. The results of our research also revealed a decrease in the quality of healthcare services provided. Conclusions Nevertheless the development of telemedicine has had a positive impact on the quality of healthcare services. The COVID-19 pandemic has undoubtedly affected most European countries' quality of healthcare services.",0.0
1,1,Data Quality in Health Care: Main Concepts and Assessment Methodologies,"M. Mashoufi, H. Ayatollahi, Davoud Khorasani-Zavareh",Methods of Information in Medicine,2022,"Abstract Introduction  In the health care environment, a huge volume of data is produced on a daily basis. However, the processes of collecting, storing, sharing, analyzing, and reporting health data usually face with numerous challenges that lead to producing incomplete, inaccurate, and untimely data. As a result, data quality issues have received more attention than before. Objective  The purpose of this article is to provide an insight into the data quality definitions, dimensions, and assessment methodologies. Methods  In this article, a scoping literature review approach was used to describe and summarize the main concepts related to data quality and data quality assessment methodologies. Search terms were selected to find the relevant articles published between January 1, 2012 and September 31, 2022. The retrieved articles were then reviewed and the results were reported narratively. Results  In total, 23 papers were included in the study. According to the results, data quality dimensions were various and different methodologies were used to assess them. Most studies used quantitative methods to measure data quality dimensions either in paper-based or computer-based medical records. Only two studies investigated respondents' opinions about data quality. Conclusion  In health care, high-quality data not only are important for patient care, but also are vital for improving quality of health care services and better decision making. Therefore, using technical and nontechnical solutions as well as constant assessment and supervision is suggested to improve data quality.",0.048668372489589745
2,2,Evaluating online health information quality using machine learning and deep learning: A systematic literature review,"Y. Baqraf, Pantea Keikhosrokiani, Manal Al-rawashdeh · Jan 1, 202",Digital Health,2023,"Background Due to the large volume of online health information, while quality remains dubious, understanding the usage of artificial intelligence to evaluate health information and surpass human-level performance is crucial. However, the existing studies still need a comprehensive review highlighting the vital machine, and Deep learning techniques for the automatic health information evaluation process. Objective Therefore, this study outlines the most recent developments and the current state of the art regarding evaluating the quality of online health information on web pages and specifies the direction of future research. Methods In this article, a systematic literature is conducted according to the PRISMA statement in eight online databases PubMed, Science Direct, Scopus, ACM, Springer Link, Wiley Online Library, Emerald Insight, and Web of Science to identify all empirical studies that use machine and deep learning models for evaluating the online health information quality. Furthermore, the selected techniques are compared based on their characteristics, such as health quality criteria, quality measurement tools, algorithm type, and achieved performance. Results The included papers evaluate health information on web pages using over 100 quality criteria. The results show no universal quality dimensions used by health professionals and machine or deep learning practitioners while evaluating health information quality. In addition, the metrics used to assess the model performance are not the same as those used to evaluate human performance. Conclusions This systemic review offers a novel perspective in approaching the health information quality in web pages that can be used by machine and deep learning practitioners to tackle the problem more effectively.",0.0
3,3,Data Quality in Health Research: Integrative Literature Review,"F. Bernardi, Domingos Alves, N. Crepaldi",Journal of Medical Internet Research,2022,"Background Decision-making and strategies to improve service delivery must be supported by reliable health data to generate consistent evidence on health status. The data quality management process must ensure the reliability of collected data. Consequently, various methodologies to improve the quality of services are applied in the health field. At the same time, scientific research is constantly evolving to improve data quality through better reproducibility and empowerment of researchers and offers patient groups tools for secured data sharing and privacy compliance. Objective Through an integrative literature review, the aim of this work was to identify and evaluate digital health technology interventions designed to support the conducting of health research based on data quality. Methods A search was conducted in 6 electronic scientific databases in January 2022: PubMed, SCOPUS, Web of Science, Institute of Electrical and Electronics Engineers Digital Library, Cumulative Index of Nursing and Allied Health Literature, and Latin American and Caribbean Health Sciences Literature. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses checklist and flowchart were used to visualize the search strategy results in the databases. Results After analyzing and extracting the outcomes of interest, 33 papers were included in the review. The studies covered the period of 2017-2021 and were conducted in 22 countries. Key findings revealed variability and a lack of consensus in assessing data quality domains and metrics. Data quality factors included the research environment, application time, and development steps. Strategies for improving data quality involved using business intelligence models, statistical analyses, data mining techniques, and qualitative approaches. Conclusions The main barriers to health data quality are technical, motivational, economical, political, legal, ethical, organizational, human resources, and methodological. The data quality process and techniques, from precollection to gathering, postcollection, and analysis, are critical for the final result of a study or the quality of processes and decision-making in a health care organization. The findings highlight the need for standardized practices and collaborative efforts to enhance data quality in health research. Finally, context guides decisions regarding data quality strategies and techniques. International Registered Report Identifier (IRRID) RR2-10.1101/2022.05.31.22275804",0.0
4,4,Digital health for quality healthcare: A systematic mapping of review studies,"M. Ibrahim, Harmy Mohamed Yusoff, Yasrul Izad Abu Bakar",Digital Health,2022,"Objective To systematically catalogue review studies on digital health to establish extent of evidence on quality healthcare and illuminate gaps for new understanding, perspectives and insights for evidence-informed policies and practices. Methods We systematically searched PubMed database using sensitive search strings. Two reviewers independently conducted two-phase selection via title and abstract, followed by full-text appraisal. Consensuses were derived for any discrepancies. A standardized data extraction tool was used for reliable data mining. Results A total of 54 reviews from year 2014 to 2021 were included with notable increase in trend of publications. Systematic reviews constituted the majority (61.1%, (37.0% with meta-analyses)) followed by scoping reviews (38.9%). Domains of quality being reviewed include effectiveness (75.9%), accessibility (33.3%), patient safety (31.5%), efficiency (25.9%), patient-centred care (20.4%) and equity (16.7%). Mobile apps and computer-based were the commonest (79.6%) modalities. Strategies for effective intervention via digital health included engineering improved health behaviour (50.0%), better clinical assessment (35.1%), treatment compliance (33.3%) and enhanced coordination of care (24.1%). Psychiatry was the discipline with the most topics being reviewed for digital health (20.3%). Conclusion Digital health reviews reported findings that were skewed towards improving the effectiveness of intervention via mHealth applications, and predominantly related to mental health and behavioural therapies. There were considerable gaps on review of evidence on digital health for cost efficiency, equitable healthcare and patient-centred care. Future empirical and review studies may investigate the association between fields of practice and tendency to adopt and research the use of digital health to improve care.",0.0
5,5,Analysis and evaluation of developed and used health scores.,"Daniel Kaiser, Adrian Schuhmacher, Justin Schmidtke",Health promotion international,2023,"This systematic review provides an overview of existing multidimensional health scores, including an assessment of their holistic value (coverage of all determinants and dimensions of health), and a systematic comparison of their properties. The review is based on the Preferred Reporting Items for Systematic Reviews and Meta-Analyses. Literature searches were conducted in English (PubMed, Scopus, Web of Sciences) and German databases (BISp-Surf, BIBNET). All scores that considered health multidimensional on an individual level were included. Two independent reviewers screened and identified articles. The Quality assessment tool for studies with diverse design was used to assess study quality. Scores were recorded in a criteria grid to make their properties comparable, and the multidimensionality of the individual scores was evaluated using radar chart visualizations. Twenty-six studies met the inclusion criteria. Study quality was strong in eight, fair in twelve, and weak in six studies. Among the 26 studies, 21 different questionnaire-based scores were included, which all covered at least three of the five health dimensions (Five dimensions have been identified in a former literature research). Three scores covered all dimensions, but none covered all of the previously defined determinants. Thus, according to this works created definition (holistic = cover all dimensions with all determinants), no holistic health score exists, only multidimensional scores covering different dimensions and determinants. This review offers good comparability, as all the instruments were questionnaires, and could be used as a basis for future research. A universal (holistic) health construct should be defined and developed to improve the quantification of health.",0.0
6,6,Digital Health Data Quality Issues: Systematic Review,"R. Syed, R. Eden, Tendai Makasi",Journal of Medical Internet Research,2023,"Background The promise of digital health is principally dependent on the ability to electronically capture data that can be analyzed to improve decision-making. However, the ability to effectively harness data has proven elusive, largely because of the quality of the data captured. Despite the importance of data quality (DQ), an agreed-upon DQ taxonomy evades literature. When consolidated frameworks are developed, the dimensions are often fragmented, without consideration of the interrelationships among the dimensions or their resultant impact. Objective The aim of this study was to develop a consolidated digital health DQ dimension and outcome (DQ-DO) framework to provide insights into 3 research questions: What are the dimensions of digital health DQ? How are the dimensions of digital health DQ related? and What are the impacts of digital health DQ? Methods Following the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines, a developmental systematic literature review was conducted of peer-reviewed literature focusing on digital health DQ in predominately hospital settings. A total of 227 relevant articles were retrieved and inductively analyzed to identify digital health DQ dimensions and outcomes. The inductive analysis was performed through open coding, constant comparison, and card sorting with subject matter experts to identify digital health DQ dimensions and digital health DQ outcomes. Subsequently, a computer-assisted analysis was performed and verified by DQ experts to identify the interrelationships among the DQ dimensions and relationships between DQ dimensions and outcomes. The analysis resulted in the development of the DQ-DO framework. Results The digital health DQ-DO framework consists of 6 dimensions of DQ, namely accessibility, accuracy, completeness, consistency, contextual validity, and currency; interrelationships among the dimensions of digital health DQ, with consistency being the most influential dimension impacting all other digital health DQ dimensions; 5 digital health DQ outcomes, namely clinical, clinician, research-related, business process, and organizational outcomes; and relationships between the digital health DQ dimensions and DQ outcomes, with the consistency and accessibility dimensions impacting all DQ outcomes. Conclusions The DQ-DO framework developed in this study demonstrates the complexity of digital health DQ and the necessity for reducing digital health DQ issues. The framework further provides health care executives with holistic insights into DQ issues and resultant outcomes, which can help them prioritize which DQ-related problems to tackle first.",0.0
7,7,Impact of health system governance on healthcare quality in low-income and middle-income countries: a scoping review,"Joby George, Susan Jack, Robin Gauld",BMJ Open,2023,"Introduction Improving healthcare quality in low-/middle-income countries (LMICs) is a critical step in the pathway to Universal Health Coverage and health-related sustainable development goals. This study aimed to map the available evidence on the impacts of health system governance interventions on the quality of healthcare services in LMICs. Methods We conducted a scoping review of the literature. The search strategy used a combination of keywords and phrases relevant to health system governance, quality of healthcare and LMICs. Studies published in English until August 2023, with no start date limitation, were searched on PubMed, Cochrane Library, CINAHL, Web of Science, Scopus, Google Scholar and ProQuest. Additional publications were identified by snowballing. The effects reported by the studies on processes of care and quality impacts were reviewed. Results The findings from 201 primary studies were grouped under (1) leadership, (2) system design, (3) accountability and transparency, (4) financing, (5) private sector partnerships, (6) information and monitoring; (7) participation and engagement and (8) regulation. Conclusions We identified a stronger evidence base linking improved quality of care with health financing, private sector partnerships and community participation and engagement strategies. The evidence related to leadership, system design, information and monitoring, and accountability and transparency is limited.",0.0
8,8,A Scoping Review of Approaches to Improving Quality of Data Relating to Health Inequalities,"S. Moorthie, Vicky Peacey, Siân Evans",International Journal of Environmental Research and Public Health,2022,"Identifying and monitoring of health inequalities requires good-quality data. The aim of this work is to systematically review the evidence base on approaches taken within the healthcare context to improve the quality of data for the identification and monitoring of health inequalities and describe the evidence base on the effectiveness of such approaches or recommendations. Peer-reviewed scientific journal publications, as well as grey literature, were included in this review if they described approaches and/or made recommendations to improve data quality relating to the identification and monitoring of health inequalities. A thematic analysis was undertaken of included papers to identify themes, and a narrative synthesis approach was used to summarise findings. Fifty-seven papers were included describing a variety of approaches. These approaches were grouped under four themes: policy and legislation, wider actions that enable implementation of policies, data collection instruments and systems, and methodological approaches. Our findings indicate that a variety of mechanisms can be used to improve the quality of data on health inequalities at different stages (prior to, during, and after data collection). These findings can inform us of actions that can be taken by those working in local health and care services on approaches to improving the quality of data on health inequalities.",0.0
9,9,Identifying features of quality in rural placements for health students: scoping review,"E. Green, Claire Quilliam, Lyndal Sheepway",BMJ Open,2022,"Objectives To explore and synthesise the evidence relating to features of quality in rural health student placements. Design Scoping review. Data sources MEDLINE, CINAHL, Embase, ProQuest, Informit, Scopus, ERIC and several grey literature data sources (1 January 2005 to 13 October 2020). Study selection The review included peer-reviewed and grey literature from Organisation for Economic Co-operation and Development listed countries that focused on quality of health student placements in regional, rural and remote areas. Data extraction Data were extracted regarding the methodological and design characteristics of each data source, and the features suggested to contribute to student placement quality under five categories based on a work-integrated learning framework. Results Of 2866 resulting papers, 101 were included for data charting and content analysis. The literature was dominated by medicine and nursing student placement research. No literature explicitly defined quality in rural health student placements, although proxy indicators for quality such as satisfaction, positive experiences, overall effectiveness and perceived value were identified. Content analysis resulted in four overarching domains pertaining to features of rural health student placement quality: (1) learning and teaching in a rural context, (2) rural student placement characteristics, (3) key relationships and (4) required infrastructure. Conclusion The findings suggest that quality in rural health student placements hinges on contextually specific features. Further research is required to explore these findings and ways in which these features can be measured during rural health student placements.",0.0
